route_id,agency_id,route_short_name,route_long_name,route_type
2,malyn,2,Паперова фабрика — Лікарня,3
3,malyn,3,Лікарня (Лісотехнікум) — Залізничний вокзал,3
5,malyn,5,Лікарня — Залізничний вокзал,3
7,malyn,7,Лікарня — Залізничний вокзал,3
8,malyn,8,Базар (Базарна площа) — Залізничний вокзал,3
9,malyn,9,"Базарна площа (ТЦ «Промінь») — Малинівка, Юрівка, вул. Олекси Тихого, БАМ, «Царське село»",3
11,malyn,11,Паперова фабрика — Залізничний вокзал,3
12,malyn,12,Лікарня — Залізничний вокзал,3
