shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shp_3_1,50.777463,29.278983,17
shp_3_1,50.777212,29.282797,18
shp_3_1,50.776622,29.284959,19
shp_3_1,50.775374,29.288778,20
shp_3_1,50.773929,29.293467,21
shp_3_1,50.773735,29.294041,22
shp_3_1,50.774166,29.295098,23
shp_3_0,50.774166,29.295098,1
shp_3_0,50.774424,29.294733,2
shp_3_0,50.773929,29.293467,3
shp_3_0,50.775855,29.288177,4
shp_3_0,50.776815,29.285249,5
shp_3_0,50.777212,29.282797,6
shp_3_0,50.777463,29.278983,7
shp_3_0,50.777894,29.275239,8
shp_3_0,50.778461,29.268426,9
shp_3_0,50.778366,29.261795,10
shp_3_0,50.776649,29.255776,11
shp_3_0,50.775788,29.252236,12
shp_3_0,50.774202,29.249570,13
shp_3_0,50.772260,29.244441,14
shp_3_0,50.768131,29.241834,15
shp_3_0,50.769013,29.234657,16
shp_3_0,50.771384,29.232194,17
shp_3_0,50.773935,29.226873,18
shp_3_0,50.774400,29.225623,19
shp_3_0,50.776381,29.218348,20
shp_3_0,50.776269,29.213333,21
shp_3_0,50.782470,29.199128,22
shp_3_0,50.782938,29.189301,23
shp_3_0,50.777938,29.177424,24
shp_5_1,50.771988,29.222399,1
shp_5_1,50.771947,29.220972,2
shp_5_1,50.774431,29.220741,3
shp_5_1,50.776127,29.219363,4
shp_5_1,50.773935,29.226873,5
shp_5_1,50.769013,29.234657,6
shp_5_1,50.768036,29.242660,7
shp_5_1,50.772263,29.244838,8
shp_5_1,50.773650,29.247193,9
shp_5_1,50.771612,29.253180,10
shp_5_1,50.770624,29.255980,11
shp_5_1,50.772823,29.258067,12
shp_5_1,50.776242,29.261656,13
shp_5_1,50.778366,29.261795,14
shp_5_1,50.778583,29.262986,15
shp_5_1,50.778308,29.267712,16
shp_5_1,50.777579,29.275990,17
shp_5_1,50.777463,29.278983,18
shp_5_1,50.777212,29.282797,19
shp_5_1,50.776622,29.284959,20
shp_5_1,50.775374,29.288778,21
shp_5_1,50.773929,29.293467,22
shp_5_1,50.773735,29.294041,23
shp_5_1,50.774166,29.295098,24
shp_5_0,50.774166,29.295098,1
shp_5_0,50.774424,29.294733,2
shp_5_0,50.773929,29.293467,3
shp_5_0,50.775855,29.288177,4
shp_5_0,50.776815,29.285249,5
shp_5_0,50.777212,29.282797,6
shp_5_0,50.777463,29.278983,7
shp_5_0,50.777894,29.275239,8
shp_5_0,50.778461,29.268426,9
shp_5_0,50.778583,29.262986,10
shp_5_0,50.779064,29.262117,11
shp_5_0,50.778366,29.261795,12
shp_5_0,50.776242,29.261656,13
shp_5_0,50.772870,29.257863,14
shp_5_0,50.770624,29.255980,15
shp_5_0,50.771717,29.253405,16
shp_5_0,50.773650,29.247193,17
shp_5_0,50.772260,29.244441,18
shp_5_0,50.768131,29.241834,19
shp_5_0,50.769013,29.234657,20
shp_5_0,50.769444,29.233691,21
shp_5_0,50.773935,29.226873,22
shp_5_0,50.776127,29.219363,23
shp_5_0,50.774373,29.220468,24
shp_5_0,50.771947,29.220972,25
shp_5_0,50.771988,29.222399,26
shp_7_0,50.774166,29.295098,1
shp_7_0,50.773722,29.293885,2
shp_7_0,50.771744,29.292512,3
shp_7_0,50.766153,29.290688,4
shp_7_0,50.766187,29.298069,5
shp_7_0,50.764687,29.297887,6
shp_7_0,50.763903,29.298096,7
shp_7_0,50.764130,29.301299,8
shp_7_0,50.760506,29.302179,9
shp_7_0,50.759916,29.290409,10
shp_7_0,50.759941,29.284772,11
shp_7_0,50.759960,29.282126,12
shp_7_0,50.759838,29.274316,13
shp_7_0,50.760961,29.267642,14
shp_7_0,50.761555,29.265003,15
shp_7_0,50.762536,29.260980,16
shp_7_0,50.765192,29.249425,17
shp_7_0,50.766994,29.242451,18
shp_7_0,50.768131,29.241834,19
shp_7_0,50.769013,29.234657,20
shp_7_0,50.771384,29.232194,21
shp_7_0,50.773935,29.226873,22
shp_7_0,50.774400,29.225623,23
shp_7_0,50.776127,29.219363,24
shp_7_1,50.776127,29.219363,1
shp_7_1,50.774295,29.225403,2
shp_7_1,50.771255,29.231980,3
shp_7_1,50.769206,29.233664,4
shp_7_1,50.768131,29.241834,5
shp_7_1,50.766994,29.242451,6
shp_7_1,50.765528,29.247617,7
shp_7_1,50.762916,29.257933,8
shp_7_1,50.761396,29.264467,9
shp_7_1,50.760710,29.267031,10
shp_7_1,50.759838,29.274316,11
shp_7_1,50.759753,29.281515,12
shp_7_1,50.759941,29.284772,13
shp_7_1,50.758504,29.289980,14
shp_7_1,50.760547,29.302608,15
shp_7_1,50.764130,29.301299,16
shp_7_1,50.763903,29.298096,17
shp_7_1,50.765087,29.298338,18
shp_7_1,50.766187,29.298069,19
shp_7_1,50.766153,29.290688,20
shp_7_1,50.771703,29.292984,21
shp_7_1,50.773722,29.293885,22
shp_7_1,50.774166,29.295098,23
shp_8_1,50.755969,29.249280,1
shp_8_1,50.756261,29.244667,2
shp_8_1,50.756380,29.243686,3
shp_8_1,50.757704,29.240048,4
shp_8_1,50.760961,29.239093,5
shp_8_1,50.765942,29.241207,6
shp_8_1,50.766994,29.242451,7
shp_8_1,50.765528,29.247617,8
shp_8_1,50.762916,29.257933,9
shp_8_1,50.761396,29.264467,10
shp_8_1,50.760710,29.267031,11
shp_8_1,50.759838,29.274316,12
shp_8_1,50.759753,29.281515,13
shp_8_1,50.760513,29.288692,14
shp_8_1,50.765277,29.290323,15
shp_8_1,50.771703,29.292984,16
shp_8_1,50.774166,29.295098,17
shp_8_0,50.774166,29.295098,1
shp_8_0,50.771744,29.292512,2
shp_8_0,50.765277,29.290323,3
shp_8_0,50.760513,29.288692,4
shp_8_0,50.759941,29.284772,5
shp_8_0,50.759753,29.281515,6
shp_8_0,50.759838,29.274316,7
shp_8_0,50.760961,29.267642,8
shp_8_0,50.761555,29.265003,9
shp_8_0,50.762536,29.260980,10
shp_8_0,50.765192,29.249425,11
shp_8_0,50.767103,29.241647,12
shp_8_0,50.765963,29.240820,13
shp_8_0,50.760299,29.239238,14
shp_8_0,50.757061,29.240923,15
shp_8_0,50.756693,29.242235,16
shp_8_0,50.756380,29.243686,17
shp_8_0,50.755915,29.248690,18
shp_8_0,50.755969,29.249280,19
shp_9_1,50.766994,29.242451,1
shp_9_1,50.765528,29.247617,2
shp_9_1,50.762916,29.257933,3
shp_9_1,50.762298,29.261066,4
shp_9_1,50.766112,29.263410,5
shp_9_1,50.769946,29.266044,6
shp_9_1,50.778203,29.271172,7
shp_9_1,50.778308,29.267712,8
shp_9_1,50.778366,29.261795,9
shp_9_1,50.785020,29.278522,10
shp_9_1,50.783650,29.285624,11
shp_9_1,50.778264,29.297125,12
shp_9_1,50.774166,29.295098,13
shp_9_1,50.771506,29.305429,14
shp_9_0,50.771506,29.305429,1
shp_9_0,50.774166,29.295098,2
shp_9_0,50.778264,29.297125,3
shp_9_0,50.783650,29.285624,4
shp_9_0,50.785020,29.278522,5
shp_9_0,50.778366,29.261795,6
shp_9_0,50.778308,29.267712,7
shp_9_0,50.778203,29.271172,8
shp_9_0,50.769946,29.266044,9
shp_9_0,50.766112,29.263410,10
shp_9_0,50.762536,29.260980,11
shp_9_0,50.762916,29.257933,12
shp_9_0,50.765192,29.249425,13
shp_9_0,50.765528,29.247617,14
shp_9_0,50.766994,29.242451,15
shp_9_0,50.774373,29.220468,16
