route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
5,пн-вт-ср-чт-пт-сб-нд,5-04,Лікарня,0,7:45,,,
5,пн-вт-ср-чт-пт-сб-нд,5-05,Залізничний вокзал,1,8:08,,,
5,пн-вт-ср-чт-пт-сб-нд,5-06,Лікарня,0,8:30,,,
5,пн-вт-ср-чт-пт-сб-нд,5-07,Залізничний вокзал,1,8:53,,,
5,пн-вт-ср-чт-пт-сб-нд,5-08,Лікарня,0,9:15,,,
5,пн-вт-ср-чт-пт-сб-нд,5-09,Залізничний вокзал,1,9:38,,,
5,пн-вт-ср-чт-пт-сб-нд,5-10,Лікарня,0,10:03,,,
5,пн-вт-ср-чт-пт-сб-нд,5-11,Залізничний вокзал,1,10:23,,,
5,пн-вт-ср-чт-пт-сб-нд,5-12,Лікарня,0,10:48,,,
5,пн-вт-ср-чт-пт-сб-нд,5-13,Залізничний вокзал,1,11:08,,,
5,пн-вт-ср-чт-пт-сб-нд,5-14,Лікарня,0,11:30,,,
5,пн-вт-ср-чт-пт-сб-нд,5-15,Залізничний вокзал,1,11:55,,,
5,пн-вт-ср-чт-пт-сб-нд,5-16,Лікарня,0,12:15,,,
5,пн-вт-ср-чт-пт-сб-нд,5-17,Залізничний вокзал,1,12:38,,,
5,пн-вт-ср-чт-пт-сб-нд,5-18,Лікарня,0,13:03,,,
5,пн-вт-ср-чт-пт-сб-нд,5-19,Залізничний вокзал,1,13:20,,,
5,пн-вт-ср-чт-пт-сб-нд,5-20,Лікарня,0,13:45,,,
5,пн-вт-ср-чт-пт-сб-нд,5-21,Залізничний вокзал,1,14:53,,,
5,пн-вт-ср-чт-пт-сб-нд,5-22,Залізничний вокзал,1,15:36,,,
5,пн-вт-ср-чт-пт-сб-нд,5-23,Лікарня,0,16:03,,,
5,пн-вт-ср-чт-пт-сб-нд,5-24,Залізничний вокзал,1,16:23,,,
5,пн-вт-ср-чт-пт-сб-нд,5-25,Лікарня,0,16:48,,,
5,пн-вт-ср-чт-пт-сб-нд,5-26,Залізничний вокзал,1,17:06,,,
5,пн-вт-ср-чт-пт-сб-нд,5-27,Лікарня,0,17:30,,,
5,пн-вт-ср-чт-пт-сб-нд,5-28,Залізничний вокзал,1,17:55,,,
7,пн-вт-ср-чт-пт-сб-нд,7-01,Лікарня,0,7:15,,,
7,пн-вт-ср-чт-пт-сб-нд,7-02,Залізничний вокзал,1,7:40,,,
7,пн-вт-ср-чт-пт-сб-нд,7-03,Лікарня,0,8:00,,,
7,пн-вт-ср-чт-пт-сб-нд,7-04,Залізничний вокзал,1,8:20,,,
7,пн-вт-ср-чт-пт-сб-нд,7-05,Залізничний вокзал,1,9:10,,,
7,пн-вт-ср-чт-пт-сб-нд,7-06,Лікарня,0,9:30,,,
7,пн-вт-ср-чт-пт-сб-нд,7-07,Залізничний вокзал,1,9:50,,,
7,пн-вт-ср-чт-пт-сб-нд,7-08,Лікарня,0,10:15,,,
7,пн-вт-ср-чт-пт-сб-нд,7-09,Залізничний вокзал,1,10:40,,,
7,пн-вт-ср-чт-пт-сб-нд,7-10,Лікарня,0,11:10,,,
7,пн-вт-ср-чт-пт-сб-нд,7-11,Залізничний вокзал,1,11:35,,,
7,пн-вт-ср-чт-пт-сб-нд,7-12,Лікарня,0,11:55,,,
7,пн-вт-ср-чт-пт-сб-нд,7-13,Залізничний вокзал,1,13:20,,,
7,пн-вт-ср-чт-пт-сб-нд,7-14,Лікарня,0,13:45,,,
7,пн-вт-ср-чт-пт-сб-нд,7-15,Залізничний вокзал,1,14:10,,,
7,пн-вт-ср-чт-пт-сб-нд,7-16,Лікарня,0,14:30,,,
7,пн-вт-ср-чт-пт-сб-нд,7-17,Залізничний вокзал,1,14:55,,,
7,пн-вт-ср-чт-пт-сб-нд,7-18,Лікарня,0,15:30,,,
7,пн-вт-ср-чт-пт-сб-нд,7-19,Залізничний вокзал,1,16:30,,,
7,пн-вт-ср-чт-пт-сб-нд,7-20,Лікарня,0,17:00,,,
7,пн-вт-ср-чт-пт-сб-нд,7-21,Залізничний вокзал,1,17:20,,,
7,пн-вт-ср-чт-пт-сб-нд,7-22,Лікарня,0,17:45,,,
7,пн-вт-ср-чт-пт-сб-нд,7-23,Залізничний вокзал,1,18:06,,,
7,пн-вт-ср-чт-пт-сб-нд,7-24,Лікарня,0,18:35,,,
7,пн-вт-ср-чт-пт-сб-нд,7-25,Залізничний вокзал,1,18:50,,,
7,пн-вт-ср-чт-пт-сб-нд,7-26,Лікарня,0,19:15,,,
8,пн-вт-ср-чт-пт-сб-нд,8-01,Залізничний вокзал,1,7:00,,,
8,пн-вт-ср-чт-пт-сб-нд,8-02,Базар (Базарна площа),0,7:30,,,
8,пн-вт-ср-чт-пт-сб-нд,8-03,Залізничний вокзал,1,8:00,,,
8,пн-вт-ср-чт-пт-сб-нд,8-04,Базар (Базарна площа),0,8:30,,,
8,пн-вт-ср-чт-пт-сб-нд,8-05,Залізничний вокзал,1,9:00,,,
8,пн-вт-ср-чт-пт-сб-нд,8-06,Базар (Базарна площа),0,9:25,,,
8,пн-вт-ср-чт-пт-сб-нд,8-07,Залізничний вокзал,1,10:00,,,
8,пн-вт-ср-чт-пт-сб-нд,8-08,Базар (Базарна площа),0,10:30,,,
8,пн-вт-ср-чт-пт-сб-нд,8-09,Залізничний вокзал,1,11:00,,,
8,пн-вт-ср-чт-пт-сб-нд,8-10,Базар (Базарна площа),0,11:30,,,
8,пн-вт-ср-чт-пт-сб-нд,8-11,Залізничний вокзал,1,12:00,,,
8,пн-вт-ср-чт-пт-сб-нд,8-12,Базар (Базарна площа),0,12:30,,,
8,пн-вт-ср-чт-пт-сб-нд,8-13,Залізничний вокзал,1,13:00,,,
8,пн-вт-ср-чт-пт-сб-нд,8-14,Базар (Базарна площа),0,13:30,,,
8,пн-вт-ср-чт-пт-сб-нд,8-15,Залізничний вокзал,1,15:00,,,
8,пн-вт-ср-чт-пт-сб-нд,8-16,Базар (Базарна площа),0,15:20,,,
8,пн-вт-ср-чт-пт-сб-нд,8-17,Залізничний вокзал,1,16:00,,,
8,пн-вт-ср-чт-пт-сб-нд,8-18,Базар (Базарна площа),0,16:30,,,
8,пн-вт-ср-чт-пт-сб-нд,8-19,Залізничний вокзал,1,17:00,,,
8,пн-вт-ср-чт-пт-сб-нд,8-20,Базар (Базарна площа),0,17:30,,,
8,пн-вт-ср-чт-пт-сб-нд,8-21,Залізничний вокзал,1,18:00,,,
9,пн-вт-ср-чт-пт-сб-нд,9-01,Лікарня (через БАМ),1,6:45,,,
9,пн-вт-ср-чт-пт-сб-нд,9-02,"Малинівка, Юрівка, БАМ",1,8:10,,,
9,пн-вт-ср-чт-пт-сб-нд,9-03,Базарна площа (ТЦ «Промінь»),0,8:40,,,
9,пн-вт-ср-чт-пт-сб-нд,9-04,"Малинівка, Юрівка, БАМ",1,9:00,,,
9,пн-вт-ср-чт-пт-сб-нд,9-05,Базарна площа (ТЦ «Промінь»),0,9:30,,,
9,пн-вт-ср-чт-пт-сб-нд,9-06,"Малинівка, Юрівка, БАМ",1,10:00,,,
